id,answer,source,focus_area
118,"To prevent bronchiectasis, it's important to prevent the lung infections and lung damage that can cause it.
                
Childhood vaccines for measles and whooping cough prevent infections related to these illnesses. These vaccines also reduce complications from these infections, such as bronchiectasis.
                
Avoiding toxic fumes, gases, smoke, and other harmful substances also can help protect your lungs.
                
Proper treatment of lung infections in children also may help preserve lung function and prevent lung damage that can lead to bronchiectasis.
                
Stay alert to keep children (and adults) from inhaling small objects (such as pieces of toys and food that might stick in a small airway). If you think you, your child, or someone else has inhaled a small object, seek prompt medical care.
                
In some cases, treating the underlying cause of bronchiectasis can slow or prevent its progression.",NHLBI,Bronchiectasis
119,"Primary polycythemia (polycythemia vera) can't be prevented. However, with proper treatment, you can prevent or delay symptoms and complications.
                
Sometimes you can prevent secondary polycythemia by avoiding things that deprive your body of oxygen for long periods. For example, you can avoid mountain climbing, living at a high altitude, or smoking.
                
People who have serious heart or lung diseases may develop secondary polycythemia. Treatment for the underlying disease may improve the secondary polycythemia. Following a healthy lifestyle to lower your risk of heart and lung diseases also will help you prevent secondary polycythemia.",NHLBI,Polycythemia Vera
120,"Mild to serious bleeding causes the main signs and symptoms of thrombocytopenia. Bleeding can occur inside your body (internal bleeding) or underneath your skin or from the surface of your skin (external bleeding).
                
Signs and symptoms can appear suddenly or over time. Mild thrombocytopenia often has no signs or symptoms. Many times, it's found during a routine blood test.
                
Check with your doctor if you have any signs of bleeding. Severe thrombocytopenia can cause bleeding in almost any part of the body. Bleeding can lead to a medical emergency and should be treated right away.
                
External bleeding usually is the first sign of a low platelet count. External bleeding may cause purpura (PURR-purr-ah) or petechiae (peh-TEE-key-ay). Purpura are purple, brown, and red bruises. This bruising may happen easily and often. Petechiae are small red or purple dots on your skin.
                
Purpura and Petechiae
                

                
Other signs of external bleeding include:
                
Prolonged bleeding, even from minor cuts
                
Bleeding or oozing from the mouth or nose, especially nosebleeds or bleeding from brushing your teeth
                
Abnormal vaginal bleeding (especially heavy menstrual flow)
                
A lot of bleeding after surgery or dental work also might suggest a bleeding problem.
                
Heavy bleeding into the intestines or the brain (internal bleeding) is serious and can be fatal. Signs and symptoms include:
                
Blood in the urine or stool or bleeding from the rectum. Blood in the stool can appear as red blood or as a dark, tarry color. (Taking iron supplements also can cause dark, tarry stools.)
                
Headaches and other neurological symptoms. These problems are very rare, but you should discuss them with your doctor.",NHLBI,Thrombocytopenia
121,"Peripheral artery disease (P.A.D.) affects millions of people in the United States. The disease is more common in blacks than any other racial or ethnic group.The major risk factors for P.A.D. are smoking, older age, and having certain diseases or conditions.
                
Smoking
                
Smoking is the main risk factor for P.A.D. and your risk increases if you smoke or have a history of smoking. Quitting smoking slows the progress of P.A.D. People who smoke and people who have diabetes are at highest risk for P.A.D. complications, such as gangrene (tissue death) in the leg from decreased blood flow.
                
Older Age
                
Older age also is a risk factor for P.A.D. Plaque builds up in your arteries as you age.Older age combined with other risk factors, such as smoking or diabetes, also puts you at higher risk for P.A.D.
                
Diseases and Conditions
                
Many diseases and conditions can raise your risk of P.A.D., including:
                
Diabetes
                
High blood pressure
                
High blood cholesterol
                
Coronary heart disease
                
Stroke
                
Metabolic syndrome",NHLBI,Peripheral Artery Disease
122,"The most common signs and symptoms of heart failure are:
                
Shortness of breath or trouble breathing
                
Fatigue (tiredness)
                
Swelling in the ankles, feet, legs, abdomen, and veins in the neck
                
All of these symptoms are the result of fluid buildup in your body. When symptoms start, you may feel tired and short of breath after routine physical effort, like climbing stairs.
                
As your heart grows weaker, symptoms get worse. You may begin to feel tired and short of breath after getting dressed or walking across the room. Some people have shortness of breath while lying flat.
                
Fluid buildup from heart failure also causes weight gain, frequent urination, and a cough that's worse at night and when you're lying down. This cough may be a sign of acute pulmonary edema (e-DE-ma). This is a condition in which too much fluid builds up in your lungs. The condition requires emergency treatment.
                
Heart Failure Signs and Symptoms",NHLBI,Heart Failure
123,"Taking action to control your risk factors can help prevent or delay atherosclerosis and its related diseases. Your risk for atherosclerosis increases with the number of risk factors youhave.
                
One step you can take is to adopt a healthy lifestyle, which can include:
                
Heart-Healthy Eating. Adopt heart-healthy eating habits, which include eating different fruits and vegetables (including beans and peas), whole grains, lean meats, poultry without skin, seafood, and fat-free or low-fat milk and dairy products. A heart-healthy diet is low in sodium, added sugar, solid fats, and refined grains. Following a heart-healthy diet is an important part of a healthy lifestyle.
                
Physical Activity. Be as physically active as you can. Physical activity can improve your fitness level and your health. Ask your doctor what types and amounts of activity are safe for you. Read more about Physical Activity and Your Heart.
                
Quit Smoking. If you smoke, quit. Smoking can damage and tighten blood vessels and raise your risk for atherosclerosis. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke. Read more about Smoking and Your Heart.
                
Weight Control. If youre overweight or obese, work with your doctor to create a reasonable weight-loss plan. Controlling your weight helps you control risk factors foratherosclerosis.
                
Other steps that can prevent or delay atherosclerosis include knowing your family history of atherosclerosis. If you or someone in your family has an atherosclerosis-related disease, be sure to tell your doctor.
                
If lifestyle changes arent enough, your doctor may prescribe medicines to control your atherosclerosis risk factors. Take all of your medicines as your doctor advises.",NHLBI,Atherosclerosis
124,"Pulmonary embolism (PE) is diagnosed based on your medical history, a physical exam, and test results.
                
Doctors who treat patients in the emergency room often are the ones to diagnose PE with the help of a radiologist. A radiologist is a doctor who deals with x rays and other similar tests.
                
Medical History and Physical Exam
                
To diagnose PE, the doctor will ask about your medical history. He or she will want to: 
                
Find out your deep vein thrombosis (DVT) and PE risk factors
                
See how likely it is that you could have PE
                
Rule out other possible causes for your symptoms
                
Your doctor also will do a physical exam. During the exam, he or she will check your legs for signs of DVT. He or she also will check your blood pressure and your heart and lungs.
                
Diagnostic Tests
                
Many tests can help diagnose PE. Which tests you have will depend on how you feel when you get to the hospital, your risk factors, available testing options, and other conditions you could possibly have. You may have one or more of the following tests.
                
Ultrasound
                
Doctors can use ultrasound to look for blood clots in your legs. Ultrasound uses sound waves to check blood flow in your veins.
                
For this test, gel is put on the skin of your legs. A hand-held device called a transducer is moved back and forth over the affected areas. The transducer gives off ultrasound waves and detects their echoes as they bounce off the vein walls and blood cells.
                
A computer turns the echoes into a picture on a computer screen, allowing the doctor to see blood flow in your legs. If the doctor finds blood clots in the deep veins of your legs, he or she will recommend treatment.
                
DVT and PE both are treated with the same medicines.
                
Computed Tomography Scans
                
Doctors can use computed tomography (to-MOG-rah-fee) scans, or CT scans, to look for blood clots in the lungs and legs.
                
For this test, dye is injected into a vein in your arm. The dye makes the blood vessels in your lungs and legs show up on x-ray images. You'll lie on a table, and an x-ray tube will rotate around you. The tube will take pictures from many angles.
                
This test allows doctors to detect most cases of PE. The test only takes a few minutes. Results are available shortly after the scan is done.
                
Lung Ventilation/Perfusion Scan
                
A lung ventilation/perfusion scan, or VQ scan, uses a radioactive substance to show how well oxygen and blood are flowing to all areas of your lungs. This test can help detect PE.
                
Pulmonary Angiography
                
Pulmonary angiography (an-jee-OG-rah-fee) is another test used to diagnose PE. This test isn't available at all hospitals, and a trained specialist must do the test.
                
For this test, a flexible tube called a catheter is threaded through the groin (upper thigh) or arm to the blood vessels in the lungs. Dye is injected into the blood vessels through the catheter.
                
X-ray pictures are taken to show blood flowing through the blood vessels in the lungs. If a blood clot is found, your doctor may use the catheter to remove it or deliver medicine to dissolve it.
                
Blood Tests
                
Certain blood tests may help your doctor find out whether you're likely to have PE.
                
A D-dimer test measures a substance in the blood that's released when a blood clot breaks down. High levels of the substance may mean a clot is present. If your test is normal and you have few risk factors, PE isn't likely.
                
Other blood tests check for inherited disorders that cause blood clots. Blood tests also can measure the amount of oxygen and carbon dioxide in your blood. A clot in a blood vessel in your lungs may lower the level of oxygen in your blood.
                
Other Tests
                
To rule out other possible causes of your symptoms, your doctor may use one or more of the following tests.
                
Echocardiography (echo). This test uses sound waves to create a moving picture of your heart. Doctors use echo to check heart function and detect blood clots inside the heart.
                
EKG (electrocardiogram). An EKG is a simple, painless test that detects and records the heart's electrical activity.
                
Chest x ray. This test creates pictures of your lungs, heart, large arteries, ribs, and diaphragm (the muscle below your lungs).
                
Chest MRI (magnetic resonance imaging). This test uses radio waves and magnetic fields to create pictures of organs and structures inside the body. MRI often can provide more information than an x ray.",NHLBI,Pulmonary Embolism
125,"Ischemic Stroke and Transient Ischemic Attack
                
An ischemic stroke or transient ischemic attack (TIA) occurs if an artery that supplies oxygen-rich blood to the brain becomes blocked. Many medical conditions can increase the risk of ischemic stroke or TIA.
                
For example, atherosclerosis (ath-er-o-skler-O-sis) is a disease in which a fatty substance called plaque builds up on the inner walls of the arteries. Plaque hardens and narrows the arteries, which limits the flow of blood to tissues and organs (such as the heart and brain).
                
Plaque in an artery can crack or rupture (break open). Blood platelets (PLATE-lets), which are disc-shaped cell fragments, stick to the site of the plaque injury and clump together to form blood clots. These clots can partly or fully block an artery.
                
Plaque can build up in any artery in the body, including arteries in the heart, brain, and neck. The two main arteries on each side of the neck are called the carotid (ka-ROT-id) arteries. These arteries supply oxygen-rich blood to the brain, face, scalp, and neck.
                
When plaque builds up in the carotid arteries, the condition is called carotid artery disease. Carotid artery disease causes many of the ischemic strokes and TIAs that occur in the United States.
                
An embolic stroke (a type of ischemic stroke) or TIA also can occur if a blood clot or piece of plaque breaks away from the wall of an artery. The clot or plaque can travel through the bloodstream and get stuck in one of the brains arteries. This stops blood flow through the artery and damages brain cells.
                
Heart conditions and blood disorders also can cause blood clots that can lead to a stroke or TIA. For example, atrial fibrillation (A-tre-al fi-bri-LA-shun), or AF, is a common cause of embolic stroke.
                
In AF, the upper chambers of the heart contract in a very fast and irregular way. As a result, some blood pools in the heart. The pooling increases the risk of blood clots forming in the heart chambers.
                
An ischemic stroke or TIA also can occur because of lesions caused by atherosclerosis. These lesions may form in the small arteries of the brain, and they can block blood flow to the brain.
                
Hemorrhagic Stroke
                
Sudden bleeding in the brain can cause a hemorrhagic stroke. The bleeding causes swelling of the brain and increased pressure in the skull. The swelling and pressure damage brain cells and tissues.
                
Examples of conditions that can cause a hemorrhagic stroke include high blood pressure, aneurysms, and arteriovenous (ar-TEER-e-o-VE-nus) malformations (AVMs).
                
""Blood pressure"" is the force of blood pushing against the walls of the arteries as the heart pumps blood. If blood pressure rises and stays high over time, it can damage the body in many ways.
                
Aneurysms are balloon-like bulges in an artery that can stretch and burst. AVMs are tangles of faulty arteries and veins that can rupture within the brain. High blood pressure can increase the risk of hemorrhagic stroke in people who have aneurysms or AVMs.",NHLBI,Stroke
126,"Hypotension (HI-po-TEN-shun) is abnormally low blood pressure. Blood pressure is the force of blood pushing against the walls of the arteries as the heart pumps out blood.
                
Blood pressure is measured as systolic (sis-TOL-ik) and diastolic (di-a-STOL-ik) pressures. ""Systolic"" refers to blood pressure when the heart beats while pumping blood. ""Diastolic"" refers to blood pressure when the heart is at rest between beats.
                
You most often will see blood pressure numbers written with the systolic number above or before the diastolic number, such as 120/80 mmHg. (The mmHg is millimeters of mercurythe units used to measure blood pressure.)
                
Normal blood pressure in adults is lower than 120/80 mmHg. Hypotension is blood pressure that's lower than 90/60 mmHg.
                
Overview
                
Blood pressure doesn't stay the same all the time. It lowers as you sleep and rises when you wake up. Blood pressure also rises when you're excited, nervous, or active.
                
Your body is very sensitive to changes in blood pressure. For example, if you stand up quickly, your blood pressure may drop for a short time. Your body adjusts your blood pressure to make sure enough blood and oxygen are flowing to your brain, kidneys, and other vital organs.
                
Most forms of hypotension happen because your body can't bring blood pressure back to normal or can't do it fast enough.
                
Some people have low blood pressure all the time. They have no signs or symptoms, and their low blood pressure is normal for them.
                
In other people, certain conditions or factors cause abnormally low blood pressure. As a result, less blood and oxygen flow to the body's organs.
                
For the most part, hypotension is a medical concern only if it causes signs or symptoms or is linked to a serious condition, such as heart disease. Signs and symptoms of hypotension may include dizziness, fainting, cold and sweaty skin, fatigue (tiredness), blurred vision, or nausea (feeling sick to your stomach).
                
In extreme cases, hypotension can lead to shock.
                
Outlook
                
In a healthy person, low blood pressure without signs or symptoms usually isn't a problem and needs no treatment. If it causes signs or symptoms, your doctor will try to find and treat the condition that's causing it.
                
Hypotension can be dangerous. It can make you fall because of dizziness or fainting. Shock, a severe form of hypotension, is a condition that's often fatal if not treated right away. With prompt and proper treatment, shock can be successfully treated.",NHLBI,Hypotension
127,"You usually can't prevent acute pericarditis. You can take steps to reduce your chance of having another acute episode, having complications, or getting chronic pericarditis.
                
These steps include getting prompt treatment, following your treatment plan, and having ongoing medical care (as your doctor advises).",NHLBI,Pericarditis
128,"Marfan syndrome is a condition in which your body's connective tissue is abnormal. Connective tissue helps support all parts of your body. It also helps control how your body grows and develops.
                
Marfan syndrome most often affects the connective tissue of the heart and blood vessels, eyes, bones, lungs, and covering of the spinal cord. Because the condition affects many parts of the body, it can cause many complications. Sometimes the complications are life threatening.
                
Overview
                
Marfan syndrome is a genetic disorder. A mutation, or change, in the gene that controls how the body makes fibrillin causes Marfan syndrome. Fibrillin is a protein that plays a major role in your body's connective tissue.
                
Most people who have Marfan syndrome inherit it from their parents. If you have Marfan syndrome, you have a 50 percent chance of passing the altered gene to each of your children.
                
In about 1 in 4 cases, the mutation that causes Marfan syndrome is not inherited. Thus, the affected person is the first in his or her family to have the condition.
                
Marfan syndrome often affects the long bones of the body. This can lead to signs, or traits, such as:
                
A tall, thin build.
                
Long arms, legs, fingers, and toes and flexible joints.
                
A spine that curves to one side. This condition is called scoliosis (sko-le-O-sis).
                
A chest that sinks in or sticks out. These conditions are called pectus excavatum (eks-ka-VA-tum) and pectus carinatum (ka-ri-NA-tum), respectively.
                
Teeth that are too crowded.
                
Flat feet.
                
Marfan syndrome traits vary from person to person, even in the same family. Some people who have the condition have many traits, while others have few.
                
The most serious complications of Marfan syndrome involve the heart and blood vessels. Marfan syndrome can affect the aorta, the main blood vessel that supplies oxygen-rich blood to the body. In Marfan syndrome, the aorta can stretch and grow weak. This condition is called aortic dilation (di-LA-shun) or aortic aneurysm (AN-u-rism).
                
If the aorta stretches and grows weak, it may tear or burst and leak blood. This condition is called aortic dissection. It's very serious and can lead to severe heart problems or even death.
                
Marfan syndrome has no cure, but treatments can help delay or prevent complications. Treatments include medicines, surgery, and other therapies. Limiting certain activities, or changing how you do them, may help reduce the risks to the aorta, eyes, and joints.
                
The type of treatment you receive depends on how the condition is affecting your body.
                
Outlook
                
About 1 out of every 5,000 people in the United States has Marfan syndrome. Men, women, children, and people of all races can have the condition.
                
Advances have been made in the early diagnosis and treatment of Marfan syndrome. It's now possible for people who have the condition to live longer and enjoy a good quality of life. Many people who have Marfan syndrome and are properly diagnosed and treated may live an average lifespan.
                
Researchers continue to study the condition and look for better treatments.",NHLBI,Marfan Syndrome
129,"First, your doctor will want to find out whether your palpitations are harmless or related to a heart problem. He or she will ask about your symptoms and medical history, do a physical exam, and recommend several basic tests.
                
This information may point to a heart problem as the cause of your palpitations. If so, your doctor may recommend more tests. These tests will help show what the problem is, so your doctor can decide how to treat it.
                
The cause of palpitations may be hard to diagnose, especially if symptoms don't occur regularly.
                
Specialists Involved
                
Several types of doctors may work with you to diagnose and treat your palpitations. These include a:
                
Primary care doctor
                
Cardiologist (a doctor who specializes in diagnosing and treating heart diseases and conditions)
                
Electrophysiologist (a cardiologist who specializes in the heart's electrical system)
                
Medical History
                
Your doctor will ask questions about your palpitations, such as:
                
When did they begin?
                
How long do they last?
                
How often do they occur?
                
Do they start and stop suddenly?
                
Does your heartbeat feel steady or irregular during the palpitations?
                
Do other symptoms occur with the palpitations?
                
Do your palpitations have a pattern? For example, do they occur when you exercise or drink coffee? Do they happen at a certain time of day?
                
Your doctor also may ask about your use of caffeine, alcohol, supplements, and illegal drugs.
                
Physical Exam
                
Your doctor will take your pulse to find out how fast your heart is beating and whether its rhythm is normal. He or she also will use a stethoscope to listen to your heartbeat.
                
Your doctor may look for signs of conditions that can cause palpitations, such as an overactive thyroid.
                
Diagnostic Tests
                
Often, the first test that's done is an EKG (electrocardiogram). This simple test records your heart's electrical activity.
                
An EKG shows how fast your heart is beating and its rhythm (steady or irregular). It also records the strength and timing of electrical signals as they pass through your heart.
                
Even if your EKG results are normal, you may still have a medical condition that's causing palpitations. If your doctor suspects this is the case, you may have blood tests to gather more information about your heart's structure, function, and electrical system.
                
Holter or Event Monitor
                
A standard EKG only records the heartbeat for a few seconds. It won't detect heart rhythm problems that don't happen during the test. To diagnose problems that come and go, your doctor may have you wear a Holter or event monitor.
                
A Holter monitor records the hearts electrical activity for a full 24- or 48-hour period. You wear patches called electrodes on your chest. Wires connect the patches to a small, portable recorder. The recorder can be clipped to a belt, kept in a pocket, or hung around your neck.
                
During the 24- or 48-hour period, you do your usual daily activities. You use a notebook to record any symptoms you have and the time they occur. You then return both the recorder and the notebook to your doctor to read the results. Your doctor can see how your heart was beating at the time you had symptoms.
                
An event monitor is similar to a Holter monitor. You wear an event monitor while doing your normal activities. However, an event monitor only records your heart's electrical activity at certain times while you're wearing it.
                
For many event monitors, you push a button to start the monitor when you feel symptoms. Other event monitors start automatically when they sense abnormal heart rhythms.
                
You can wear an event monitor for weeks or until symptoms occur.
                
Holter or Event Monitor
                

                
Echocardiography
                
Echocardiography uses sound waves to create a moving picture of your heart. The picture shows the size and shape of your heart and how well your heart chambers and valves are working.
                
The test also can identify areas of poor blood flow to the heart, areas of heart muscle that aren't contracting normally, and previous injury to the heart muscle caused by poor blood flow.
                
Stress Test
                
Some heart problems are easier to diagnose when your heart is working hard and beating fast. During stress testing, you exercise to make your heart work hard and beat fast while heart tests are done. If you cant exercise, you may be given medicine to make your heart work hard and beat fast.",NHLBI,Heart Palpitations
130,"The most common risk factor for cardiogenic shock is having a heart attack. If you've had a heart attack, the following factors can further increase your risk for cardiogenic shock:
                
Older age
                
A history of heart attacks or heart failure
                
Coronary heart disease that affects all of the hearts major blood vessels
                
High blood pressure
                
Diabetes
                
Women who have heart attacks are at higher risk for cardiogenic shock than men who have heart attacks.",NHLBI,Cardiogenic Shock
131,"You can prevent obesity hypoventilation syndrome (OHS) by maintaining a healthy weight. However, not everyone who is obese develops OHS. Researchers don't fully know why only some people who are obese develop the condition.
                
Adopting healthy habits can help you maintain a healthy weight. Many lifestyle habits begin during childhood. So, it's important to make following a healthy lifestyle a family goal.
                
A healthy diet is an important part of a healthy lifestyle. A healthy diet includes a variety of vegetables and fruits. It also includes whole grains, fat-free or low-fat dairy products, and protein foods, such as lean meats, eggs, poultry without skin, seafood, nuts, seeds, beans, and peas.
                
A healthy diet is low in sodium (salt), added sugars, solid fats, and refined grains. Solid fats are saturated fat and trans fatty acids. Refined grains come from processing whole grains, which results in a loss of nutrients (such as dietary fiber). Examples of refined grains include white rice and white bread.
                
For more information about following a healthy diet, go to the National Heart, Lung, and Blood Institute's ""Your Guide to Lowering Your Blood Pressure With DASH"" and the U.S. Department of Agriculture's ChooseMyPlate.gov Web site. Both resources provide general information about healthy eating.
                
To adopt other healthy lifestyle habits, follow these tips:
                
Focus on portion size. Watch the portion sizes in fast food and other restaurants. The portions served often are enough for two or three people. Children's portion sizes should be smaller than those for adults. Cutting back on portion sizes will help you manage your calorie intake.
                
Be physically active. Make personal and family time as active as possible. Find activities that everyone will enjoy. For example, go for a brisk walk, bike or rollerblade, or train together for a walk or run.
                
Reduce screen time. Limit the use of TVs, computers, DVDs, and videogames; they cut back on the time for physical activity. Health experts recommend2 hours or less a day of screen time that's not work- or homework-related.
                
Keep track of your weight and body mass index (BMI). BMI is calculated from your height and weight. In adults, a BMI of 30 or more is considered obese. You can use the NHLBI's online BMI calculator to figure out your BMI, or your doctor can help you.
                
For more information, go to the prevention section of the Health Topics Overweight and Obesity article.
                
Even if you have OHS, you might be able to prevent the condition from worsening. For example, avoid alcohol, sedatives, and narcotics. These substances can interfere with how well your body is able to maintain normal carbon dioxide and oxygen levels.",NHLBI,Obesity Hypoventilation Syndrome
132,"The NINDS conducts and supports research on disorders of the brain and nervous system, including pseudotumor cerebri. This research focuses primarily on increasing scientific understanding of these disorders and finding ways to prevent, treat, and cure them.",NINDS,Pseudotumor Cerebri
133,The NINDS supports research on movement disorders such as chorea. The goals of this research are to increase understanding of these disorders and to find ways to prevent and treat them.,NINDS,Chorea
134,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system, and to use that knowledge to reduce the burden of neurological disease. Studies of cerebral cavernous malformations (CCMs) show that alterations in the function of structural proteins may also give rise to vascular malformations. Currently there is no therapy to prevent the development or progression of CCMs. NINDS-funded scientists have developed an animal model that studies two of the familial genes related to the development of CCMs. Research shows that the protein signaling pathway Rhoa/ROCK, which allows cells to communicate regarding the formation of cell structure, is involved in blood vessel activity/ and the flow of molecules and cells into and out of blood vessels. These scientists hypothesize that blocking ROCK activity will inhibit CCM development and hemorrhage, and possibly create a therapy for these malformations.",NINDS,Cavernous Malformation
135,Treatment for Sturge-Weber syndrome is symptomatic. Laser treatment may be used to lighten or remove the birthmark.  Anticonvulsant medications may be used to control seizures. Persons with drug-resistant seizures may be treated by surgical removal of epileptic brain tissue. Surgery may be performed on more serious cases of glaucoma. Physical therapy should be considered for infants and children with muscle weakness. Educational therapy is often prescribed for those with impaired cognition or developmental delays. Doctors recommend yearly monitoring for glaucoma.,NINDS,Sturge-Weber Syndrome
136,"The prognosis for children with IS is dependent on the underlying causes of the seizures. The intellectual prognosis for children with IS is generally poor because many babies with IS have neurological impairment prior to the onset of spasms. Epileptic spasms usually reduce in number by mid-childhood, but more than half of the children with IS will develop other types of seizures. There appears to be a close relationship between IS and Lennox-Gastaut Syndrome, an epileptic disorder of later childhood.",NINDS,Infantile Spasms
137,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge of the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS supports research on genetic disorders such as Barth syndrome, including basic research on mitochondrial dysfunction and investigations of other inborn errors of metabolism. Scientists have identified many of the genetic mutations that cause mitochondrial diseases and have created animal models which can be used to investigate potential treatments. Scientists hope to develop unique approaches to treating mitochondrial diseases through a better understanding of mitochondrial biology. Because people affected by mitochondrial disease often have a mixture of healthy and mutant mitochondria in their cells, effective therapy could involve getting the healthy mitochondria to take over for the diseased ones.",NINDS,Barth Syndrome
138,"Developmental dyspraxia is a disorder characterized by an impairment in the ability to plan and carry out sensory and motor tasks. Generally, individuals with the disorder appear ""out of sync"" with their environment. Symptoms vary and may include poor balance and coordination, clumsiness, vision problems, perception difficulties, emotional and behavioral problems, difficulty with reading, writing, and speaking, poor social skills, poor posture, and poor short-term memory. Although individuals with the disorder may be of average or above average intelligence, they may behave immaturely.",NINDS,Developmental Dyspraxia
139,"Tremor is an unintentional, rhythmic, muscle movement involving to-and-fro movements of one or more parts of the body. Most tremors occur in the hands, although they can also affect the arms, head, face, voice, trunk, and legs. Sometimes tremor is a symptom of another neurological disorder or a side effect of certain drugs, but the most common form occurs in otherwise healthy people. Some forms of tremor are inherited and run in families, while others have no known cause. Excessive alcohol consumption or alcohol withdrawal can kill certain nerve cells, resulting in tremor, especially in the hand. Other causes include an overactive thyroid and the use of certain drugs. Tremor may occur at any age but is most common in middle-aged and older persons.
                
There are several forms of tremor, including:
                
Essential tremor (sometimes called benign essential tremor) is the most common form of abnormal tremor.The hands are most often affected but the head, voice, tongue, legs, and trunk may also be involved. Head tremor may be seen as a ""yes-yes"" or ""no-no"" motion. Onset is most common after age 40, although symptoms can appear at any age. Parkinsonian tremor is caused by damage to structures within the brain that control movement. The tremor is classically seen as a ""pill-rolling"" action of the hands but may also affect the chin, lips, legs, and trunk. Dystonic tremor occurs in individuals of all ages who are affected by dystonia, a movement disorder in which sustained involuntary muscle contractions cause twisting motions or painful postures or positions.",NINDS,Tremor
140,"PLS is not fatal. There is no cure and the progression of symptoms varies. Some people may retain the ability to walk without assistance, but others eventually require wheelchairs, canes, or other assistive devices.",NINDS,Primary Lateral Sclerosis
141,"Dermatomyositis is one of a group of muscle diseases known as the inflammatory myopathies, which are characterized by chronic muscle inflammation accompanied by muscle weakness. Dermatomyositis cardinal symptom is a skin rash that precedes, accompanies, or follows progressive muscle weakness. The rash looks patchy, with purple or red discolorations, and characteristically develops on the eyelids and on muscles used to extend or straighten joints, including knuckles, elbows, knees, and toes. Red rashes may also occur on the face, neck, shoulders, upper chest, back, and other locations, and there may be swelling in the affected areas. The rash sometimes occurs without obvious muscle involvement. Adults with dermatomyositis may experience weight loss, a low-grade fever, inflamed lungs, and be sensitive to light such that the rash or muscle disease gets worse. Children and adults with dermatomyositis may develop calcium deposits, which appear as hard bumps under the skin or in the muscle (called calcinosis). Calcinosis most often occurs 1-3 years after the disease begins. These deposits are seen more often in children with dermatomyositis than in adults. In some cases of dermatomyositis, distal muscles (muscles located away from the trunk of the body, such as those in the forearms and around the ankles and wrists) may be affected as the disease progresses. Dermatomyositis may be associated with collagen-vascular or autoimmune diseases, such as lupus.",NINDS,Dermatomyositis
142,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to porencephaly in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Much of this research explores the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies will provide a foundation for developing ways to prevent porecephaly and the other cephalic disorders.,NINDS,Porencephaly
143,"Behcet's disease is a rare, chronic inflammatory disorder. The cause of Behcet's disease is unknown, but current research suggests that both genetic and environmental factors play a role. Behcet's disease generally begins when individuals are in their 20s or 30s, although it can happen at any age. It tends to occur more often in men than in women. Symptoms of Behcet's disease include recurrent ulcers in the mouth (resembling canker sores) and on the genitals, and eye inflammation. The disorder may also cause various types of skin lesions, arthritis, bowel inflammation, meningitis (inflammation of the membranes of the brain and spinal cord), and cranial nerve palsies. Behcet's is a multi-system disease; it may involve all organs and affect the central nervous system, causing memory loss and impaired speech, balance, and movement.
                
The effects of the disease may include blindness, stroke, swelling of the spinal cord, and intestinal complications. The disease is common in the Middle East, particularly in Turkey, and in Far Eastern nations such as Japan and Korean, but is less common in the United States.",NINDS,Behcet's Disease
144,"Cerebral atrophy is a common feature of many of the diseases that affect the brain. Atrophy of any tissue means loss of cells. In brain tissue, atrophy describes a loss of neurons and the connections between them. Atrophy can be generalized, which means that all of the brain has shrunk; or it can be focal, affecting only a limited area of the brain and resulting in a decrease of the functions that area of the brain controls. If the cerebral hemispheres (the two lobes of the brain that form the cerebrum) are affected, conscious thought and voluntary processes may be impaired.
                
Associated Diseases/Disorders: The pattern and rate of progression of cerebral atrophy depends on the disease involved. Diseases that cause cerebral atrophy include:
                
- stroke and traumatic brain injury - Alzheimers disease, Picks disease, and fronto-temporal dementia - cerebral palsy, in which lesions (damaged areas) may impair motor coordination - Huntingtons disease, and other hereditary diseases that are associated with genetic mutations - leukodystrophies, such as Krabbe disease, which destroy the myelin sheath that protects axons - mitochondrial encephalomyopathies, such as Kearns-Sayre syndrome, which interfere with the basic functions of neurons - multiple sclerosis, which causes inflammation, myelin damage, and lesions in cerebral tissue - infectious diseases, such as encephalitis, neurosyphilis, and AIDS, in which an infectious agent or the inflammatory reaction to it destroys neurons and their axons
                
Symptoms of cerebral atrophy: Many diseases that cause cerebral atrophy are associated with dementia, seizures, and a group of language disorders called the aphasias.
                
- Dementia is characterized by a progressive impairment of memory and intellectual function that is severe enough to interfere with social and work skills. Memory, orientation, abstraction, ability to learn, visual-spatial perception, and higher executive functions such as planning, organizing, and sequencing may also be impaired. - Seizures can take different forms, appearing as disorientation, repetitive movements, loss of consciousness, or convulsions. - Aphasias are a group of disorders characterized by disturbances in speaking and understanding language. Receptive aphasia causes impaired comprehension. Expressive aphasia is reflected in odd choices of words, the use of partial phrases, disjointed clauses, and incomplete sentences.",NINDS,Cerebral Atrophy
